Time Offset (h),Mars Altitude
0.0,55.46038158845356
0.24489795918367346,57.37252063474225
0.4897959183673469,58.97532581513147
0.7346938775510203,60.21877743845815
0.9795918367346939,61.05649815974256
1.2244897959183674,61.45273040735753
1.4693877551020407,61.389118103895434
1.7142857142857142,60.868674697580246
1.9591836734693877,59.91510884678937
2.204081632653061,58.567832416223325
2.4489795918367347,56.87487419842125
2.693877551020408,54.886228472917345
2.9387755102040813,52.64913016274731
3.183673469387755,50.20549858308555
3.4285714285714284,47.591064659646975
3.673469387755102,44.835528136626415
3.9183673469387754,41.9632161664305
4.163265306122449,38.99390696770991
4.408163265306122,35.94363919938094
4.653061224489796,32.82542841250072
4.8979591836734695,29.649867475466273
5.142857142857142,26.425614608068773
5.387755102040816,23.15978334154543
5.63265306122449,19.858251341572828
5.877551020408163,16.525904054367963
6.122448979591836,13.166826851347203
6.36734693877551,9.784456833008862
6.612244897959184,6.381703158633255
6.857142857142857,2.961042841391373
7.1020408163265305,-0.4754026015749273
7.346938775510204,-3.925805471035527
7.591836734693877,-7.388581947419005
7.836734693877551,-10.862351381616588
8.081632653061224,-14.345902853271312
8.326530612244898,-17.838167450159546
8.571428571428571,-21.338195032245512
8.816326530612244,-24.845134469386277
9.061224489795919,-28.358216495502163
9.306122448979592,-31.876738409560584
9.551020408163264,-35.40004987081107
9.795918367346939,-38.92753896464149
10.040816326530612,-42.4586175156569
10.285714285714285,-45.99270421307614
10.53061224489796,-49.529203322116494
10.775510204081632,-53.06747523430182
11.020408163265305,-56.60679210069939
11.26530612244898,-60.14626554858819
11.510204081632653,-63.684719690394495
11.755102040816325,-67.22044968256223
12.0,-70.75071923381718
